CMDLINE /home/blueman69/anaconda3/envs/dataSc/bin/python3.7 main.py
MEM 8718.648438 1655727296.4798
MEM 8719.019531 1655727296.5804
MEM 8721.769531 1655727296.6811
MEM 8728.269531 1655727296.7817
MEM 8735.019531 1655727296.8824
MEM 8741.769531 1655727296.9830
MEM 8748.269531 1655727297.0837
MEM 8755.019531 1655727297.1843
MEM 8761.519531 1655727297.2850
MEM 8767.519531 1655727297.3856
MEM 8774.269531 1655727297.4863
MEM 8781.019531 1655727297.5869
MEM 8787.519531 1655727297.6876
MEM 8794.269531 1655727297.7883
MEM 8800.769531 1655727297.8889
MEM 8807.519531 1655727297.9896
MEM 8814.019531 1655727298.0903
MEM 8820.769531 1655727298.1909
MEM 8827.269531 1655727298.2916
MEM 8833.769531 1655727298.3922
MEM 8840.519531 1655727298.4929
MEM 8860.136719 1655727298.5935
MEM 8860.136719 1655727298.6942
MEM 8861.386719 1655727298.7948
MEM 8867.636719 1655727298.8955
MEM 8874.136719 1655727298.9961
MEM 8880.886719 1655727299.0968
MEM 8887.386719 1655727299.1975
MEM 8894.136719 1655727299.2981
MEM 8900.886719 1655727299.3988
MEM 8907.636719 1655727299.4994
MEM 8914.136719 1655727299.6001
MEM 8920.886719 1655727299.7007
MEM 8927.636719 1655727299.8014
MEM 8934.386719 1655727299.9020
MEM 8941.136719 1655727300.0027
MEM 8947.636719 1655727300.1034
MEM 8954.386719 1655727300.2040
MEM 8961.136719 1655727300.3047
MEM 8967.886719 1655727300.4050
MEM 8974.386719 1655727300.5056
MEM 8981.136719 1655727300.6063
MEM 8987.886719 1655727300.7070
MEM 8994.636719 1655727300.8076
MEM 9001.136719 1655727300.9083
MEM 9007.886719 1655727301.0089
MEM 9014.636719 1655727301.1096
MEM 9036.531250 1655727301.2103
MEM 9037.097656 1655727301.3109
MEM 9037.097656 1655727301.4116
MEM 9042.347656 1655727301.5122
MEM 9049.097656 1655727301.6129
MEM 9055.597656 1655727301.7135
MEM 9062.347656 1655727301.8142
MEM 9069.097656 1655727301.9148
MEM 9075.597656 1655727302.0155
MEM 9082.347656 1655727302.1161
MEM 9088.847656 1655727302.2168
MEM 9095.597656 1655727302.3174
MEM 9102.097656 1655727302.4181
MEM 9108.847656 1655727302.5187
MEM 9115.597656 1655727302.6194
MEM 9122.097656 1655727302.7200
MEM 9128.847656 1655727302.8207
MEM 9135.347656 1655727302.9214
MEM 9141.847656 1655727303.0220
MEM 9148.597656 1655727303.1227
MEM 9155.097656 1655727303.2233
MEM 9161.597656 1655727303.3240
MEM 9168.347656 1655727303.4246
MEM 9174.847656 1655727303.5253
MEM 9181.597656 1655727303.6259
MEM 9188.097656 1655727303.7266
MEM 9194.847656 1655727303.8272
MEM 9201.347656 1655727303.9279
MEM 9208.097656 1655727304.0285
MEM 9214.597656 1655727304.1292
MEM 9221.347656 1655727304.2298
MEM 9227.847656 1655727304.3305
MEM 9257.347656 1655727304.4312
MEM 9257.347656 1655727304.5318
MEM 9257.347656 1655727304.6325
MEM 9257.347656 1655727304.7331
MEM 9262.609375 1655727304.8338
MEM 9269.109375 1655727304.9344
MEM 9275.859375 1655727305.0351
MEM 9282.359375 1655727305.1357
MEM 9289.109375 1655727305.2364
MEM 9295.609375 1655727305.3370
MEM 9302.109375 1655727305.4377
MEM 9308.859375 1655727305.5383
MEM 9315.359375 1655727305.6390
MEM 9322.109375 1655727305.7396
MEM 9328.609375 1655727305.8403
MEM 9335.359375 1655727305.9409
MEM 9342.109375 1655727306.0415
MEM 9348.609375 1655727306.1422
MEM 9355.359375 1655727306.2428
MEM 9361.859375 1655727306.3435
MEM 9368.359375 1655727306.4441
MEM 9375.109375 1655727306.5448
MEM 9381.609375 1655727306.6454
MEM 9388.109375 1655727306.7461
MEM 9394.859375 1655727306.8467
MEM 9401.359375 1655727306.9474
MEM 9407.859375 1655727307.0481
MEM 9414.609375 1655727307.1488
MEM 9421.359375 1655727307.2495
MEM 9427.859375 1655727307.3501
MEM 9434.359375 1655727307.4508
MEM 9441.109375 1655727307.5515
MEM 9447.859375 1655727307.6521
MEM 9454.609375 1655727307.7528
MEM 9461.109375 1655727307.8534
MEM 9467.859375 1655727307.9541
MEM 9474.609375 1655727308.0547
MEM 9481.359375 1655727308.1554
MEM 9487.859375 1655727308.2560
MEM 9494.609375 1655727308.3567
MEM 9501.359375 1655727308.4573
MEM 9533.175781 1655727308.5580
MEM 9533.175781 1655727308.6586
MEM 9533.375000 1655727308.7593
MEM 9533.375000 1655727308.8599
MEM 9536.375000 1655727308.9605
MEM 9542.875000 1655727309.0611
MEM 9549.375000 1655727309.1618
MEM 9555.875000 1655727309.2624
MEM 9562.625000 1655727309.3631
MEM 9569.125000 1655727309.4637
MEM 9575.625000 1655727309.5644
MEM 9582.125000 1655727309.6648
MEM 9588.875000 1655727309.7655
MEM 9595.375000 1655727309.8661
